member_id,CKG_NM,CKG_KND_ACTO_NM,Ing_describe
1,계란또띠아,빵,"계란 껍질을 까준 후, 흰자와 노른자를 분리해줍니다. 계란의 담백함이 담겨있는 또띠아가 완성되었습니다. 샐러드야채나 양파소스를 곁들이면 더욱 맛있어요^^ -양파소스레시피는 제 홈에 있습니다. 그 위에 통밀또띠아를 덮어줍니다. 그리고 난후, 오븐 160도에 15-20분 구워냅니다. 오븐마다 사양이 다르니 치즈가 녹을정도까지 구워내주세요. 또띠아 위에 토마토소스를 올려줍니다. -제가 직접만든 수제토마토소스인데요. 레시피는 홈에서 확인해주세요^^ 오븐에서 또띠아를 꺼내 조금 식혀주고 조각을 내줍니다. 오븐팬 위에 유산지를 깔고 통밀또띠아를 올려줍니다. 저는 한살림에 국산통밀+정제소금약간들어간 통밀로만 된 또띠아를 사용했습니다. 유정란 2개를 삶아줍니다. 환자분들은 유정란,동물복지, 무항생제란을 이용해주시면 좋을 것 같습니다. 자연스트링치"
1,오리엔탈소스,양념/소스/잼,"간장 2큰술을 넣어줍니다. 환자분들은 국산콩간장, 화학첨가물 없는 간장을 이용해주세요~ 골고루 섞어주시면 오리엔탈소스가 완성됩니다. 다진마늘 1작은술 넣어줍니다. 들기름 1큰술을 넣어주세요~~ 참기름을 넣기도하는데, 환자분들은 참기름보다 들기름을 이용하는 것이 좋습니다. 저온압착유나 냉압착유를 사용하는 것도 좋습니다. 레몬즙은 직접 레몬을 사용하여 짜주세요. 레몬즙 4큰술을 양념볼에 담습니다. 아가베시럽 2큰술을 넣어주세요~ 야채를 깨끗히 씻어 물기를 제거해준 후, 야채위에 소스를 뿌려주세요^^ 올리브유 2큰술을 넣어주세요^^ 죽염 조금 넣어줍니다. 1g정도 넣었습니다. 흑후추 1작은술 정도 넣어주세요~"
1,감자짜글이,찌개,"감자, 스팸 그리고 냉장고속 자투리 버섯들 준비 하시면 됩니다. 저는 새송이버섯을 준비 했어요. 감자가 푹 무르고, 국물이 잘박잘박할때까지 조려 주시면 됩니다. 감자가 푹 잠기도록 물을 부어 주고 끓여 줍니다. 센불로 끓이다가 끓기 시작하면 약불로 조리듯이 뭉근하게 끓여 줍니다. 감자는 도톰도톰하게 썰어 주고 새송이버섯, 양파, 대파는 적당하게 썰어 줍니다. 스팸은 끓는 물에 가볍게 데쳐 주고 비닐팩에 넣어 으깨 줍니다. 냄비에 감자, 스팸 그리고 채소들을 다 넣어주고 양념도 모두 넣어 줍니다."
1,견과류멸치볶음주먹밥,밥/죽/떡,@6951684 밥새우가 들어간 견과류멸치볶음 레시피네요 견과류멸치볶음3~4큰술과 김가루를 넣고 잘 섞어 비벼주세요 *밥이 뜨거우니 조심하세요 남은 밑반찬인 견과류 멸치볶음으로 뚝딱 만들어진 영양만점인 주먹밥이 완성이 되었네요 요즘 방학기간이라서 아이들점심이 고민이신 워킹맘들이 많으시죠 아침에 후다닥 만들어 도시락에 담아놓으셨다가 아이들보고 챙겨먹으라하기 딱좋고 도시락을 매일 싸가지고 가시는 직장인들도 좋네요ㅎ 마요네즈와 돈까스소스를 위생장갑 손가락부분에 조심씩 담아주시고 가위로 끝에 아주조금만 잘라주시고 견과류 멸치주먹밥위에 뿌려주시면 되세요 짤주머니가 편하지만 소량으로 쓰시기에는 위생장갑이 짱이네요ㅎㅎ 돈까스소스는 귀찮아서 그냥 뿌렸더니 볼폼은 없네요ㅜㅜ 큰볼에 밥한공기 또는 햇반1개를 전자렌지에 돌려서
1,과일샌드위치,양식,계란은 동그랗게 부쳐서 올려주세요 랩으로 두번정도 돌돌 말아 반으로 썰으니 먹기좋게 되었네요 마트에가면 동그란 햄을 팔아서 썰어야하는 노동이 필요없어요 아보카도와 사과는 슬라이스로 썰어 펴주시고요 양상추와 루꼴라를 깨끗이 씻어 살포시 올려주세요 어니언소스나 토스트 소스를 바릅니다 완성 모양은 이쁘나 먹기가 불편하니~ 크루아상이나 식빵을 팬에 살짝 구워서 반을 자르세요 크림치즈 한스픈을 올리면 샌드위치가 더 부드러워요 햄과 계란 사이에 캐찹을 뿌직 뿌려주시고
1,파채무침,밑반찬,"가운데를 살짝 눌러 놓고 그 자리에 계란노른자를 올려 줍니다. 그리고 통깨를 솔솔 뿌려 주시면 초간단하게 만드는 집에 있는 고추장, 식초, 간장만으로 만들 수 있는 파채무침 완성입니다. 노른자를 터트려서 잘 섞어서 드시면 더욱 고소한 맛의 파채를 즐기실 수 있습니다. 참고로, 매실액이 없으시면 설탕을 사용하셔도 됩니다. 레몬청도 괜찮고요. 자몽청도 괜찮습니다. 자몽청을 언니가 만들어 주었는데 이곳저곳 생으로 먹는 샐러드나 무침에 넣으니까 아주 맛있더라구요. 특히 샐러드에 치즈와 함께 해서 먹으면 더욱 맛있습니다. 유자청으로도 가능하니 샐러드 드레싱으로 한번 사용해 보세요. 파채를 구입하면 길게 되어 있어서 먹기에는 힘듭니다. 그래서 3-4등분으로 잘라 줍니다. 여기에 고추장, 식초, 매실액, 다진마늘, 양조간장, 참기름을 넣은 양념장을 파채"
2,나가사키짬뽕,면/만두,굴소스 설탕 미원 넣고 끓어오르면 후추가루 살짝 다진마늘 대파채 넣고 간장1큰술 넣고 면위에 담아냅니다 면을 삶아서 찬물에 헹구어 다시 뜨거운 물에 데쳐 그릇에 담아 준비하고 센불에서 볶아서 불맛을 내고 양파 배추 채썰고 청경채 청홍피망 먹기좋게 썰어 준비하고 해물은 살짝 데쳐 준비하고 육수를 두국자반 정도 넣고 육수가 없으면 치킨스톡 1작은술 정종 1큰술 넣고 준비한 재료를 넣고 칼칼하고 깊은 맛이 진한 나가사키 짬뽕 만들기 완성 되였습니다 펜에 식용유 1큰술 두르고 마른고추 향을 내고
2,콩나물무침,밑반찬,"고추가루 2큰술을 넣어요 그릇에 물기뺀 콩나물과 대파 , 홍고추를 넣으세요 끓는 물에 씻은 콩나물을 넣고 데쳐 주세요 여기서 중요한 점 !!! 아삭한 콩나물무침을 만들기 위해서는 데치는 시간이 중요해요 딱 2분 30초 동안 데쳐 줍니다 다진마늘 1큰술을 넣어요 대파와 홍고추를 썰어 주세요 데친 콩나물은 찬물에 두세번 헹구어 주세요. 채반에 담아 물기를 아주 충분히 빼주셔야 합니다. 마지막으로 간을 보고 부족하면 소금을 추가해요 통깨를 뿌려 마무리 해요 맛간장 1큰술과, 진간장 0.5큰술을 넣어요 맛간장 대신 참치액을 사용하셔도 좋고, 모두 없으면 진간장만 넣으셔도 되요 소금 1티스푼을 넣으세요 아삭한 매콤 콩나물무침 맛있게 만들어 보세요 조물조물 살살 무쳐 주세요 중간에 콩나물을 아래 위를 뒤집어 섞어 주세요 참기름 2큰술을 넣어요 콩나물은 두세"
2,김밥,밥/죽/떡,"계란말이가 한김 식으면 길게 5등분으로 잘라 줍니다. 구운 김밥김 위에 5등분한 밥 한덩이를 고루 펴 줍니다. 그리고 준비한 계란말이, 단무지, 햄을 올려 단단하게 돌~ 말아 줍니다. 요렇게 계란말이 김밥 5줄을 말았습니다. 그리고 계란 8개, 소금 1/2작은술을 넣어 줍니다. 그리고 뒤집개 두개를 사용해 앞, 뒤 좌,우 돌려 가면서 노릇하니 익혀 줍니다. 김밥 단무지 5줄 을 준비했습니다. 김밥 햄 100g을 준비했습니다. 열줄짜리 김밥햄을 두개씩 붙여 5줄로 잘라 주었지요. 그리고 달군 마른팬에 앞, 뒤 까실하게 구워 주었습니다. 달군 팬에 식용유를 살짝 두르고 중~약불에서 준비한 계란물을 팬 바닥에 고르게 얇게 한층 펴 줍니다. 당근 1/4개를 잘게 다져 시금치와 함께 담아 줍니다. 모든 재료가 고루 잘 섞이게 잘 저어 줍니다. 바닥면이 익으면 계란을 돌~ 말아 한쪽으로 "
2,크림치즈버터쿠키,과자,"175도로 예열된 오븐에 쿠키를 넣고 9~10분간 구워주세요. 계란까지 넣고 다시 열심히 휘핑해 주시고 계란을 넣어 다시 휘핑!! 계란을 따뜻한물에 넣어 좀 따뜻하게 만들고 넣어야 분리가 안돼요. 날가루가 안보이게 버터에 밀가루가 다 스며들정도까지 섞고 나면 반죽 완성입니다. 동글동글 귀여운 쿠키를 만들려고 저는 원형 깍지를 사용했는데 별깍지 사용하셔도 됩니다. 밀가루는 채에 걸러주세요. 버터랑 크림치즈는 냉장고에있는걸 실온으로 꺼내어 마요네즈상태로 풀어지도록 해 주시고, 급해 녹여야 하면 중탕으로 그릇을 따뜻하게 해서 풀어주세요. 버터와 크림치즈를 믹싱기로 돌려 부드럽게 휘핑~~ 사진처럼 설탕이 다 녹을때까지 휘핑해 주시고 색깔이 이쁘게 나면 다 구워진 거예여. 중간에 한번 안쪽과 바깥쪽을 바꿔 돌려넣어 주면 색이 더 고르게 나온답니다."
